,username,value
2238,Melviniii,71.90720000000002
2102,Deborah Jones,71.90720000000002
126,Sash Warna,71.90720000000002
2900,M Bueno,71.90720000000002
1132,SKS_MediaUAE,71.90720000000002
1864,ramachandra rao musunuru,71.90720000000002
1139,SKS Media Singapore,71.90720000000002
314,rebelOP🇺🇸,69.6880000000001
2989,🔞 AKOW 🔞,69.6880000000001
430,Ka Va Nagh,69.6880000000001
1133,SKS Media Nairobi,55.750400000000084
1861,♣PrinceG♣,53.93040000000002
45,Louis Truong #TraxionICO,53.93040000000002
1697,Кирилл Протогенов,53.93040000000002
429,mrbate,53.93040000000002
2698,kanaiya thacker,53.93040000000001
2688,Aldo The Apache,53.93040000000001
2349,Luis R Rojas,53.93040000000001
840,Vivek Bharati,53.93040000000001
822,JAMES BURNS,53.93040000000001
2386,Tarık Sezan,53.93040000000001
2454,SUDDENDEATH66,50.93426666666669
2377,Deftrax,50.63465333333335
2406,S.GRCN,50.163999999999945
2494,Crypto_collins,49.444486795822826
1362,wisdom333,49.436200000000014
1821,CamTheMan,49.436200000000014
173,Ajayi Adedoyin,47.93813333333335
2678,mark robert,47.93813333333335
1407,rangler ballabol,47.03940000000008
1669,Angelica Fink,45.584028571428576
1207,zaif夫婦 $PCN,45.147599999999954
603,Rexford,44.94200000000001
928,JESAMINE SORIAO,44.94200000000001
1562,iad_xo,44.94200000000001
359,Feldowsen,44.94200000000001
600,Nofa sutanto,44.94200000000001
1657,Galois Flores,44.94200000000001
2382,Matheus Silva,44.94200000000001
3013,Amblessed Abu,44.94200000000001
1608,Kuzaima,44.94200000000001
2804,Akorede Shehu nurain,44.94200000000001
1096,agoees,44.94200000000001
2784,mehmet bostanoğlu,44.94200000000001
923,samuel Oluwafemi,44.94200000000001
2717,Sulaiman  Sikiru Wale,44.94200000000001
1275,Augustine Ogbonnaya,44.94200000000001
2123,Thomas Ripple,44.94200000000001
1663,frank ikeme,44.94200000000001
1693,za3boulia,44.94200000000001
189,bitko,44.94200000000001
200,salah,44.94200000000001
2135,Chris ✖️,44.94200000000001
195,cholebatgirl,44.94200000000001
57,@hero0ne,44.94200000000001
2700,ICO Cryptoking,44.94200000000001
2115,Ismail Guler,44.94200000000001
1521,Gloria Uche,44.94200000000001
2512,ahmadharis,44.94200000000001
137,Mộc Lâm,44.94200000000001
906,AntonioGomez,44.94200000000001
1178,Islam hunter,44.94200000000001
744,fairlytaxed,44.94200000000001
1868,Thagodz,44.94200000000001
768,Tyler. 🇨🇦,44.94200000000001
981,Rowell Cast Abad,44.94200000000001
693,rusmuhammad01,44.94200000000001
512,Syahazek,44.94200000000001
881,Hooss Kehyou,44.94200000000001
1817,amandajhon56,44.94200000000001
155,Abdulkerim durdu,44.94200000000001
1189,JAFSTAR,44.94200000000001
50,Jolo,44.94200000000001
1042,mafia,44.94200000000001
1615,Habib Ahsani,44.94200000000001
1488,NEVAD Gaming,43.1235293213071
1033,APEM GINUK GINUK,41.81280000000007
1468,scolony miner,41.81280000000007
1918,icowit,41.81280000000007
30,Ukan kurniawan,41.81280000000007
2580,Rajko Bezarevic,41.81280000000007
2987,TassCrypto,41.81280000000007
608,L'art Pour L'art,41.81280000000007
2218,rajssuryawanshi,41.81280000000007
2745,Mario ballot,40.13119999999996
1991,ekssilva,40.13119999999996
1564,janay gill,40.13119999999996
963,MillionaireAirdrop,40.13119999999996
538,Lauren Heath,39.537445416626284
917,Nouse,39.447220410371834
1510,Rina Sumaria,38.94973333333334
350,#Altcoin Devvie,38.55687402023508
1414,JNET,36.90179581144396
2881,Reinforce Lab,36.82575874233031
344,steely fluff,35.953600000000016
2972,Szalloony,35.95360000000001
1999,BlackjinTrade,35.95360000000001
1601,Crypto Analyst,35.95360000000001
2330,BrandGodot,35.95360000000001
1501,Juan⚡️Galt,35.95360000000001
1240,Here to Listen,35.95360000000001
476,mimax10k,34.84400000000005
40,Sum Chhengse,34.84400000000005
2529,Alif Sheakh,34.84400000000005
2795,ICOLover,34.84400000000005
1581,Siyanda,34.84400000000005
1638,Redondo Music,34.84400000000005
751,Tiago,34.84400000000005
3004,Dan C,34.84400000000005
868,MICHAEL Murdock 🇺🇸🔴,34.84400000000005
1319,Lynn Brown,34.84400000000005
1234,Mushroomdrawf,34.84400000000005
2547,Jossi,34.84400000000005
679,akoleaje Samuel,34.84400000000005
465,Ailyn Dungog,34.84400000000005
2929,Sexy diva,34.84400000000005
456,ramy iline,34.84400000000005
1217,JinFan Tang,34.84400000000005
2706,cryptofancool,34.84400000000005
1241,Babatunde Joel george,34.84400000000005
721,rosa linda,34.84400000000005
1800,Janeth Ilao Cresenci,34.84400000000005
2775,Cryzon,34.84400000000005
2035,Rayson Kong,34.84400000000005
584,Danistreet01,34.84400000000005
540,CryptoWorld,34.84400000000005
2477,gazzy,34.84400000000005
1985,EbrandCorp,34.84400000000005
924,John Stephen Alaba,34.84400000000005
71,yuda_well,34.84400000000005
907,Amos Tosin,34.84400000000005
2495,Nworie Alice Deborah,34.84400000000005
2685,yonghwa01,34.84400000000005
1557,Josie Cayanan,34.84400000000005
2370,ROBEEN VAN HUUD,34.84400000000005
1715,bahaa saad,34.84400000000005
2907,TopFiveTradersCS,34.84400000000005
2689,phan huynh minh,34.84400000000005
2508,lani,34.84400000000005
227,hang nga,34.84400000000005
423,Cryto Hunter,34.368854545454596
976,GK,33.706500000000005
578,Alex 🔥,33.36576969696975
1293,Saeed Valadbaygi,32.957466666666676
1420,Siam Murzen,32.611991360919724
401,Yang,32.42172794012547
1766,X_Flips,31.459400000000006
1923,Samuel adetunji,31.36066324825105
1082,Brian🐸Ogle,31.359600000000047
642,yonico76,30.520199479013538
2444,ashok ghorui,30.488500000000045
1633,Maroof sohail,30.465662120735523
2611,Ievgen,30.21272909521591
469,ARSCI199006 #followback,30.208026195264136
1073,Julian Perez,30.19813333333338
983,Keirah,30.09839999999997
2267,CryptoGodzilla,30.098399999999966
404,Emre,30.098399999999966
309,Jonathan Willems,30.098399999999966
2563,Sasha's take on evolution,30.098399999999966
2905,Erica Meyer,30.098399999999966
2773,CutebootyPoet,30.098399999999966
2912,Marvin Stone,30.098399999999966
498,George Mac,29.961333333333336
529,Ethan Grover 🇬🇧,29.64857326897359
813,ico_kingyokingyo,29.21642590244694
2997,Sushama Ananna,28.78758346407369
275,jackbits,28.599454545454552
2794,CryptoPiper,28.424355555555515
2935,Altcoinjules,28.06378222222223
1363,AdebisiKehindePeter,27.875200000000042
1002,Arkan Zaidan,27.875200000000042
403,Mateo Particulate,27.875200000000042
2239,Ogunwole Edward,27.875200000000042
2587,kartekbas,27.875200000000042
389,Joshua Bruce,27.59019999999997
415,Life By Design 🛩,27.420585054864016
1010,Crypto Bulletin,27.362181818181785
1721,Zulfiyan Aziz,26.974343979055334
1376,iKantam,26.968319439188633
2198,Electric Buddha,26.965503597423893
2430,SylTi ⚡,26.965200000000006
1973,Zeeshan Shah,26.965200000000006
1961,Tatiana Ovchinnikova,26.965200000000006
2293,Vikram Ramakrishnan,26.965200000000006
1792,Christina Storey,26.965200000000006
550,sdshack,26.965200000000006
3020,Crypto Sport,26.965200000000006
2490,Erf ling,26.965200000000006
2961,crypto. plankton,26.965200000000006
1473,sha-265 ⚡️‏,26.965200000000006
1007,Chinedu Okpala,26.965200000000006
1388,TheLaureate,26.965200000000006
2097,Chhakho,26.965200000000006
1704,LitecoinMonkey,26.965200000000006
1469,Viki S,26.336099999999973
2518,🇨🇭  CRYPTOPIEP 🇨🇭,26.133000000000038
2520,TraderTravis,26.133000000000038
2412,TRADEZzezzze,26.133000000000038
2139,Ben Song,25.681142857142863
1467,Nils Larsson NLA,25.681142857142863
1181,Lady of the Crypt,25.681142857142863
8,rifky hasan,25.65247685744234
1197,nzbindex.in,25.552266666666707
1646,Bearly Rational,25.552266666666707
674,Coin Trading Analytics,25.366365444113836
1381,MD Moynul hasan  #savedroidICO,25.081999999999972
2618,Dan,25.081999999999972
1134,SKS Invest,25.081999999999972
1729,rockkill,25.081999999999972
2290,AltCoynz,25.081999999999972
1770,Geoffrey iyke,25.081999999999972
331,Ron Gonzalez,25.081999999999972
1862,Powpow,25.081999999999972
959,deden,25.081999999999972
673,Tedd Huff,25.081999999999972
765,Petrich,25.081999999999972
1517,Simon Komba,25.081999999999972
